product_id,product_name,category,product_price
1,Philips Microwave Oven – Red,Home Appliances,447.7
2,Lenovo Bluetooth Speaker – Blue,Electronics,782.84
3,LG Clothing Rack – Blue,Retail Goods,467.94
4,Apple POS Terminal – Blue,Retail Goods,794.47
5,Asus Smartwatch – White,Electronics,990.85
6,Samsung Compressor – Grey,Industrial Goods,777.03
7,Samsung Laser Printer – Green,Office Supplies,802.55
8,Apple Smartphone – White,Electronics,458.82
9,Asus Bluetooth Speaker – White,Electronics,687.35
10,LG Scanner – Grey,Office Supplies,257.02
11,Asus Shredder – Blue,Office Supplies,932.0
12,HP Air Purifier – Green,Home Appliances,903.26
13,Philips Bluetooth Speaker – Grey,Electronics,863.61
14,Philips Shredder – Grey,Office Supplies,597.97
15,Asus Laser Printer – Black,Office Supplies,887.56
16,Philips Hydraulic Jack – Blue,Industrial Goods,803.75
17,Philips Tablet – Grey,Electronics,927.69
18,Samsung Air Purifier – Grey,Home Appliances,821.19
19,Canon Cash Drawer – Black,Retail Goods,668.37
20,HP Scanner – Grey,Office Supplies,773.46
21,HP Barcode Scanner – White,Retail Goods,958.43
22,Sony Electric Kettle – Green,Home Appliances,267.08
23,Philips Cash Drawer – Blue,Retail Goods,479.49
24,Asus Microwave Oven – Blue,Home Appliances,985.28
25,Apple Electric Kettle – Red,Home Appliances,490.82
26,Asus Barcode Scanner – Grey,Retail Goods,789.26
27,HP Tablet – White,Electronics,834.71
28,Samsung Smartphone – Blue,Electronics,476.39
29,Philips Microwave Oven – Grey,Home Appliances,318.2
30,Philips Inkjet Printer – Grey,Office Supplies,906.77
31,LG Smartphone – White,Electronics,825.42
32,Apple Barcode Scanner – White,Retail Goods,409.51
33,LG Laptop – White,Electronics,933.1
34,Samsung Smartwatch – Grey,Electronics,766.69
35,Apple Air Purifier – Red,Home Appliances,598.22
36,HP Compressor – Green,Industrial Goods,792.97
37,Sony Smartwatch – Black,Electronics,952.49
38,Asus Vacuum Cleaner – Blue,Home Appliances,750.58
39,Apple Air Purifier – Blue,Home Appliances,776.01
40,Philips Smartphone – Black,Electronics,344.18
41,Asus Cash Drawer – White,Retail Goods,527.28
42,Canon Smartwatch – Blue,Electronics,430.43
43,Samsung Microwave Oven – Red,Home Appliances,935.44
44,Canon Laser Printer – White,Office Supplies,816.29
45,LG POS Terminal – White,Retail Goods,525.7
46,Asus Laser Printer – Red,Office Supplies,283.11
47,Philips Hydraulic Jack – Grey,Industrial Goods,263.23
48,Samsung Tablet – Grey,Electronics,504.24
49,Canon Scanner – Black,Office Supplies,715.54
50,Lenovo Microwave Oven – Grey,Home Appliances,263.18
51,Samsung Welding Machine – Blue,Industrial Goods,401.0
52,HP Clothing Rack – Grey,Retail Goods,804.58
53,Canon Clothing Rack – Black,Retail Goods,698.92
54,LG Laser Printer – Black,Office Supplies,406.89
55,Dell Air Purifier – Grey,Home Appliances,795.59
56,Canon LED Monitor – White,Electronics,373.94
57,Samsung Vacuum Cleaner – Blue,Home Appliances,604.09
58,Apple Scanner – Red,Office Supplies,389.61
59,Lenovo Bluetooth Speaker – Grey,Electronics,542.81
60,Philips Welding Machine – White,Industrial Goods,992.23
61,Philips Vacuum Cleaner – Green,Home Appliances,669.64
62,Samsung Scanner – Black,Office Supplies,971.7
63,Philips Laser Printer – Blue,Office Supplies,993.53
64,Dell Electric Kettle – Black,Home Appliances,267.26
65,Philips Microwave Oven – Red,Home Appliances,306.95
66,HP Scanner – Grey,Office Supplies,727.38
67,Asus Clothing Rack – White,Retail Goods,684.38
68,Asus Cash Drawer – Grey,Retail Goods,792.9
69,Samsung Hydraulic Jack – White,Industrial Goods,747.06
70,Sony Electric Kettle – Blue,Home Appliances,911.21
71,Sony Electric Kettle – Black,Home Appliances,487.06
72,Lenovo Hydraulic Jack – Grey,Industrial Goods,726.46
73,Sony Electric Kettle – White,Home Appliances,815.13
74,Apple Microwave Oven – Grey,Home Appliances,902.22
75,Samsung Smartwatch – Green,Electronics,477.11
76,Lenovo Hydraulic Jack – Green,Industrial Goods,688.15
77,HP Electric Kettle – White,Home Appliances,953.6
78,Samsung Smartphone – Red,Electronics,861.73
79,HP Vacuum Cleaner – Green,Home Appliances,676.43
80,HP POS Terminal – Black,Retail Goods,577.1
81,Dell Electric Kettle – Green,Home Appliances,660.42
82,LG Hydraulic Jack – White,Industrial Goods,847.93
83,Philips Air Purifier – Black,Home Appliances,810.68
84,Sony Tablet – Grey,Electronics,251.41
85,Canon Clothing Rack – Grey,Retail Goods,593.65
86,LG Barcode Scanner – White,Retail Goods,530.04
87,Dell Electric Kettle – Blue,Home Appliances,336.36
88,Lenovo Laser Printer – Green,Office Supplies,588.67
89,Canon Clothing Rack – White,Retail Goods,212.41
90,Dell Vacuum Cleaner – Grey,Home Appliances,364.28
91,Asus Electric Kettle – Blue,Home Appliances,482.76
92,Philips Vacuum Cleaner – Blue,Home Appliances,637.85
93,HP LED Monitor – Red,Electronics,385.99
94,HP POS Terminal – White,Retail Goods,803.84
95,HP Electric Kettle – Black,Home Appliances,329.84
96,Apple Clothing Rack – Red,Retail Goods,898.55
97,Philips POS Terminal – Grey,Retail Goods,709.44
98,Asus Shredder – Black,Office Supplies,339.79
99,Apple Scanner – Grey,Office Supplies,910.32
100,Philips Microwave Oven – Red,Home Appliances,846.65
101,LG Laser Printer – Blue,Office Supplies,571.31
102,Lenovo Hydraulic Jack – Green,Industrial Goods,361.61
103,HP LED Monitor – Black,Electronics,333.84
104,Canon Cash Drawer – Black,Retail Goods,888.53
105,Apple Microwave Oven – Red,Home Appliances,983.97
106,Lenovo Cash Drawer – White,Retail Goods,633.37
107,Samsung Inkjet Printer – Red,Office Supplies,607.8
108,Philips Barcode Scanner – Grey,Retail Goods,326.33
109,HP Compressor – White,Industrial Goods,492.58
110,HP Air Purifier – Grey,Home Appliances,706.22
111,Dell Tablet – Red,Electronics,369.28
112,LG Laptop – Green,Electronics,812.09
